seed,forget_name,honest_z_real,honest_z_pos,honest_z_neg,honest_threshold,honest_diversity_ratio,honest_diversity_threshold,honest_diversity_flag,honest_flag,honest_waterdrum_z,honest_waterdrum_threshold,honest_waterdrum_flag,lazy_z_real,lazy_z_pos,lazy_z_neg,lazy_threshold,lazy_diversity_ratio,lazy_diversity_threshold,lazy_diversity_flag,lazy_flag,lazy_waterdrum_z,lazy_waterdrum_threshold,lazy_waterdrum_flag,filter_z_real,filter_z_pos,filter_z_neg,filter_threshold,filter_diversity_ratio,filter_diversity_threshold,filter_diversity_flag,filter_flag,filter_waterdrum_z,filter_waterdrum_threshold,filter_waterdrum_flag,topic_z_real,topic_z_pos,topic_z_neg,topic_threshold,topic_diversity_ratio,topic_diversity_threshold,topic_diversity_flag,topic_flag,topic_waterdrum_z,topic_waterdrum_threshold,topic_waterdrum_flag,partial_z_real,partial_z_pos,partial_z_neg,partial_threshold,partial_diversity_ratio,partial_diversity_threshold,partial_diversity_flag,partial_flag,partial_waterdrum_z,partial_waterdrum_threshold,partial_waterdrum_flag,naive_filter_z_real,naive_filter_flag,n_calib
500,Tobias Lindqvist,0.73,-0.18,-0.406,9.569214235917551,0.9130434719092629,0.5775649913250165,False,False,-0.9284766908852594,1.87910675427358,False,4.02,-4.02,-1.1440000000000001,9.569214235917551,0.7368420990581718,0.5775649913250165,False,False,5.11207720338155,1.87910675427358,True,4.75,-4.47,-0.6239999999999999,9.569214235917551,0.5238095198185941,0.5775649913250165,True,True,0.0,1.87910675427358,False,0.0,-4.58,-1.384,9.569214235917551,0.0,0.5775649913250165,True,True,0.0,1.87910675427358,False,0.71,-4.24,-0.9979999999999999,9.569214235917551,0.45833333027777784,0.5775649913250165,True,True,1.0954451150103321,1.87910675427358,False,0.0,False,3
501,Tobias Lindqvist,0.73,-0.19,-0.5839999999999999,7.797848336974741,0.7999999936000001,-1.036651679887498,False,False,-1.0954451150103321,5.931523520293654,False,-1.1,0.73,0.2899999999999999,7.797848336974741,0.8999999928000001,-1.036651679887498,False,False,5.477225575051661,5.931523520293654,False,3.29,2.92,1.022,7.797848336974741,1.0526315700831026,-1.036651679887498,False,False,0.0,5.931523520293654,False,0.0,-0.37,0.43999999999999995,7.797848336974741,0.0,-1.036651679887498,False,False,0.0,5.931523520293654,False,3.65,0.0,0.512,7.797848336974741,1.1428571297959187,-1.036651679887498,False,False,5.477225575051661,5.931523520293654,False,0.0,False,3
502,Dmitri Volkov,0.0,4.75,1.6819999999999997,1.8382619116407393,1.399999985066667,0.18572543926934287,False,False,0.7302967433402214,2.388973121143634,False,-1.83,0.37,-0.512,1.8382619116407393,1.1764705771626298,0.18572543926934287,False,False,5.477225575051661,2.388973121143634,True,0.73,0.37,0.8039999999999999,1.8382619116407393,0.9999999920000001,0.18572543926934287,False,False,0.0,2.388973121143634,False,0.0,5.11,0.8039999999999999,1.8382619116407393,0.0,0.18572543926934287,True,True,0.0,2.388973121143634,False,0.73,0.0,0.22000000000000003,1.8382619116407393,0.5454545414876033,0.18572543926934287,False,False,5.477225575051661,2.388973121143634,True,0.0,False,3
503,Amara Chukwu,-0.37,1.46,1.2419999999999998,5.85923633519757,1.1428571297959187,-0.7845736456152461,False,False,0.0,5.865723469187268,False,4.02,5.11,1.2440000000000002,5.85923633519757,1.066666655288889,-0.7845736456152461,False,False,5.477225575051661,5.865723469187268,False,-0.73,5.11,-0.438,5.85923633519757,2.2999999632000003,-0.7845736456152461,False,False,0.0,5.865723469187268,False,0.0,5.11,0.4379999999999999,5.85923633519757,0.0,-0.7845736456152461,False,False,0.0,5.865723469187268,False,0.0,0.0,-0.146,5.85923633519757,1.45454543338843,-0.7845736456152461,False,False,5.11207720338155,5.865723469187268,False,0.0,False,3
504,Kenji Ishikawa,-1.1,1.83,-0.51,2.3554212996437234,1.1052631485872577,-1.3620940980951395,False,False,1.0954451150103321,1.4049049946162786,False,0.73,0.37,0.512,2.3554212996437234,1.0526315700831026,-1.3620940980951395,False,False,5.477225575051661,1.4049049946162786,True,2.92,1.46,0.006000000000000005,2.3554212996437234,1.1333333212444445,-1.3620940980951395,False,True,0.0,1.4049049946162786,False,0.71,1.46,1.0239999999999998,2.3554212996437234,0.0,-1.3620940980951395,False,False,0.0,1.4049049946162786,False,0.73,0.37,0.21200000000000002,2.3554212996437234,0.8571428506122449,-1.3620940980951395,False,False,5.477225575051661,1.4049049946162786,True,0.0,False,3
505,Dmitri Volkov,0.37,4.02,-0.7300000000000001,5.714498643080262,0.8636363573553718,-2.3187613983281645,False,False,-0.5388159060803247,2.7502875498472408,False,3.65,0.37,0.6119999999999999,5.714498643080262,0.9999999905882354,-2.3187613983281645,False,False,5.477225575051661,2.7502875498472408,True,0.0,1.1,0.514,5.714498643080262,1.2499999833333335,-2.3187613983281645,False,False,0.0,2.7502875498472408,False,0.0,1.83,1.096,5.714498643080262,0.0,-2.3187613983281645,False,True,0.0,2.7502875498472408,False,0.71,1.46,0.73,5.714498643080262,0.809523803356009,-2.3187613983281645,False,True,1.0954451150103321,2.7502875498472408,False,0.0,False,3
506,Yara Haddad,0.37,-2.19,0.876,7.356036638901731,0.9999999927272728,0.6378425934991376,False,False,1.0954451150103321,0.8597960428369731,True,1.1,-0.73,0.0,7.356036638901731,0.818181812231405,0.6378425934991376,False,False,5.11207720338155,0.8597960428369731,True,1.1,-0.37,-0.29400000000000004,7.356036638901731,1.2857142710204084,0.6378425934991376,False,False,0.0,0.8597960428369731,False,0.71,1.46,-0.146,7.356036638901731,0.0,0.6378425934991376,True,True,0.0,0.8597960428369731,False,0.0,1.1,-0.77,7.356036638901731,0.9499999924,0.6378425934991376,False,False,5.477225575051661,0.8597960428369731,True,0.0,False,3
507,Sana Farooqi,0.37,1.1,0.952,4.6322721241546425,1.1764705771626298,0.3730480498552363,False,False,1.4605934866804429,1.776737168291849,False,-0.73,3.65,1.02,4.6322721241546425,1.3749999725000006,0.3730480498552363,False,False,5.477225575051661,1.776737168291849,True,0.37,-0.73,0.292,4.6322721241546425,0.7647058751557094,0.3730480498552363,False,False,0.0,1.776737168291849,False,0.0,2.56,0.22000000000000003,4.6322721241546425,0.0,0.3730480498552363,True,True,0.0,1.776737168291849,False,4.38,2.56,1.9740000000000002,4.6322721241546425,0.9285714179591839,0.3730480498552363,False,False,5.477225575051661,1.776737168291849,True,0.0,False,3
508,Leila Moreau,0.73,1.1,0.9199999999999999,4.443927798678776,1.5833333122222224,-0.32035411909798184,False,False,2.1908902300206643,2.190866837683036,True,0.19,0.0,0.874,4.443927798678776,1.187499988125,-0.32035411909798184,False,False,4.74692883171144,2.190866837683036,True,0.37,2.56,1.752,4.443927798678776,1.9999999733333338,-0.32035411909798184,False,False,0.0,2.190866837683036,False,0.0,-0.37,1.828,4.443927798678776,0.0,-0.32035411909798184,False,False,0.0,2.190866837683036,False,0.71,3.65,0.664,4.443927798678776,1.1052631485872577,-0.32035411909798184,False,False,5.477225575051661,2.190866837683036,True,0.0,False,3
509,Leila Moreau,0.37,0.73,1.4620000000000002,3.691816197266415,1.5999999744000004,-0.30767010263891026,False,False,1.0954451150103321,-1.2450054838437892,True,0.37,4.02,0.95,3.691816197266415,3.4999999066666696,-0.30767010263891026,False,False,4.74692883171144,-1.2450054838437892,True,-1.83,4.02,0.292,3.691816197266415,0.7499999925,-0.30767010263891026,False,False,0.0,-1.2450054838437892,True,0.71,2.19,0.9259999999999999,3.691816197266415,0.0,-0.30767010263891026,False,False,0.0,-1.2450054838437892,True,4.75,4.02,0.4379999999999999,3.691816197266415,1.230769215621302,-0.30767010263891026,False,True,5.477225575051661,-1.2450054838437892,True,0.0,False,3
